,Owner,total_capacity,num_countries,avg_iso14001,avg_iso50001,avg_responsible,centroid_lat,centroid_lon,env_score
0,A. Finkl & Sons Corp,0.0,1,1.0,1.0,0.0,41.724915,-87.589968,0.6666666666666666
1,ABA Çelik Demir LŞ,0.0,1,1.0,1.0,0.0,36.747413,36.21733,0.6666666666666666
2,AFV Acciaierie Beltrame SpA,0.0,1,1.0,1.0,0.0,45.522097,11.499295,0.6666666666666666
3,AG Siderurgica Balboa SA,0.0,1,1.0,1.0,0.0,38.326405,-6.767326,0.6666666666666666
4,AG der Dillinger Hüttenwerke AG,0.0,1,1.0,1.0,1.0,49.353884,6.746603,1.0
5,ALPA - Aciéries et Laminoirs de Paris SAS,0.0,1,1.0,1.0,0.0,48.983515,1.76245,0.6666666666666666
6,AM/NS Calvert LLC,0.0,1,1.0,1.0,0.0,31.148446,-87.990521,0.6666666666666666
7,Abba Steel Ltd,0.0,1,1.0,1.0,0.0,-17.397866,15.891022,0.6666666666666666
8,Abinski Elektrometallurgicheski Zavod LLC,0.0,1,1.0,1.0,0.0,44.881938,38.12751,0.6666666666666666
9,Abu Dhabi National for Building Materials Co PJSC,0.0,1,1.0,1.0,0.0,24.37872,54.475153,0.6666666666666666
10,Abul Khair Steel Ltd,0.0,1,1.0,1.0,0.0,22.472008,91.734827,0.6666666666666666
11,Acciai Speciali Terni SpA,0.0,1,1.0,1.0,1.0,42.564752,12.66936,1.0
12,Acciaieria Arvedi SpA,0.0,1,1.0,1.0,0.0,45.145949,9.950821,0.6666666666666666
13,Acciaierie Bertoli Safau SpA,0.0,1,1.0,1.0,0.0,46.008483,13.255117,0.6666666666666666
14,Acciaierie Venete SpA,0.0,1,1.0,1.0,0.0,45.70568033333333,11.185377666666668,0.6666666666666666
15,Acciaierie d'italia SpA,0.0,1,1.0,1.0,0.0,40.508993,17.207589,0.6666666666666666
16,Acciaierie di Calvisano SpA,0.0,1,1.0,1.0,0.0,45.371651,10.331967,0.6666666666666666
17,Acciaierie di Sicilia SpA,0.0,1,1.0,1.0,0.0,37.438448,15.03287,0.6666666666666666
18,Acciaierie di Verona SpA,0.0,1,1.0,1.0,0.0,45.42882,11.000861,0.6666666666666666
19,Acerinox Europa SAU,0.0,1,1.0,1.0,0.0,36.181686,-5.426626,0.6666666666666666
20,Aceros AZA SA,0.0,1,1.0,1.0,0.0,-33.294729,-70.727881,0.6666666666666666
21,Aceros Especiales Simec Tlaxcala SA de CV,0.0,1,1.0,1.0,0.0,20.749476,-99.50398949999999,0.6666666666666666
22,Acindar Industria Argentina de Aceros SA,0.0,1,1.0,1.0,0.0,-33.249936,-60.300415,0.6666666666666666
23,Aco Verde do Brasil SA,0.0,1,1.0,1.0,0.0,-4.874373,-47.4073517,0.6666666666666666
24,Action Ispat and Power Pvt Ltd,0.0,1,1.0,1.0,0.0,21.839759,83.982227,0.6666666666666666
25,Ada - Aceria De Angola SA,0.0,1,1.0,1.0,0.0,-8.5824,13.405271,0.6666666666666666
26,Adhunik Metaliks Ltd,0.0,1,1.0,1.0,0.0,22.308371,84.763584,0.6666666666666666
27,African Natural Resources & Mines Ltd,5400.0,1,1.0,1.0,0.0,9.462715,7.368,0.6666666666666666
28,Agha Steel Industries Ltd,0.0,1,1.0,1.0,0.0,24.841851,67.310159,0.6666666666666666
29,Ahya Steel Folad Baft Co,0.0,1,1.0,1.0,0.0,29.289109,56.490707,0.6666666666666666
30,Aichi Steel Corp,0.0,1,1.0,1.0,0.0,35.044558,136.900772,0.6666666666666666
31,Ajaokuta Steel Co Ltd,3490.0,1,1.0,1.0,0.0,7.511336,6.689364,0.6666666666666666
32,Aktobe Generatsiya LLC,1300.0,1,1.0,1.0,0.0,50.355117,57.145119,0.6666666666666666
33,Al Anmaa for Construction Materials Production Ltd,0.0,1,1.0,1.0,0.0,30.218529,47.827362,0.6666666666666666
34,Al Atoun Steel Industries,0.0,1,1.0,1.0,0.0,24.029,38.180077,0.6666666666666666
35,Al Ezz Dekheila Steel Company Alexandria SAE,0.0,1,1.0,1.0,0.0,31.123467,29.80987,0.6666666666666666
36,Al Ezz Flat Steel Company SAE,0.0,1,1.0,1.0,0.0,29.692045,32.322117,0.6666666666666666
37,Al Qaryan Steel Co,0.0,1,1.0,1.0,0.0,26.280741,49.956755,0.6666666666666666
38,AlGioshy Steel SAE,0.0,1,1.0,1.0,0.0,29.6752173,32.3028163,0.6666666666666666
39,Alchevsk Metallurgical Plant PJSC,9240.0,1,1.0,1.0,0.0,48.478111,38.770787,0.6666666666666666
40,Alfa Acciai SpA,0.0,1,1.0,1.0,0.0,45.508698,10.248464,0.6666666666666666
41,Algerian Qatari Steel,0.0,1,1.0,1.0,0.0,36.753961,6.24442,0.6666666666666666
42,Algoma Steel Group Inc,0.0,1,1.0,1.0,0.0,46.518984,-84.374068,0.6666666666666666
43,Alliance Steel (M) Sdn Bhd,1100.0,1,1.0,1.0,0.0,4.007595,103.344458,0.6666666666666666
44,Alton Steel Inc,0.0,1,1.0,1.0,0.0,38.884465,-90.14579,0.6666666666666666
45,Altos Hornos de Mexico SAB de CV,7284.0,1,1.0,1.0,0.0,26.876889,-101.416612,0.6666666666666666
46,Amir Kabir Arak Steel Co,0.0,1,1.0,1.0,0.0,37.164815,49.595132,0.6666666666666666
47,Amreli Steels Ltd,0.0,1,1.0,1.0,0.0,24.800326,67.504851,0.6666666666666666
48,Amsteel Mills Sdn Bhd,0.0,1,1.0,1.0,0.0,2.93834,101.5287635,0.6666666666666666
49,Amurstal LLC,0.0,1,1.0,1.0,0.0,50.563131,136.976362,0.6666666666666666
50,Andrade Valladares Engenharia e Construcao Ltda,219.0,1,1.0,1.0,0.0,-4.887877,-47.392157,0.6666666666666666
51,Angang Lianzhong Stainless Steel Corp,0.0,1,1.0,1.0,0.0,23.126822,113.505817,0.6666666666666666
52,Angang Steel Co Ltd,0.0,1,1.0,1.0,0.0,40.99523533333333,121.82794233333334,0.6666666666666666
53,Anhui Changjiang Steel Co Ltd,1375.0,1,1.0,1.0,0.0,31.502272,118.465162,0.6666666666666666
54,Anhui Guihang Special Steel Co Ltd,0.0,1,1.0,1.0,0.0,30.531068,117.251147,0.6666666666666666
55,Anhui Jin'an Stainless Steel Foundry Co Ltd,0.0,1,1.0,1.0,0.0,31.763956,115.924372,0.6666666666666666
56,Anhui Jingxian Longxin Iron and Steel Co Ltd,0.0,1,1.0,1.0,0.0,30.709058,118.436638,0.6666666666666666
57,Anhui Langxi County Fuhang Steel Co Ltd,0.0,1,1.0,1.0,0.0,31.246635,119.120443,0.6666666666666666
58,Anhui Shoukuang Dachang Metal Material Co Ltd,1200.0,1,1.0,1.0,0.0,32.329171,115.954963,0.6666666666666666
59,Ann Joo Integrated Steel Sdn Bhd,0.0,1,1.0,1.0,0.0,5.380391,100.377598,0.6666666666666666
60,Ann Joo Steel Bhd,0.0,1,1.0,1.0,0.0,3.042585,101.537011,0.6666666666666666
61,Anshan Baode Iron & Steel Co Ltd,2395.0,1,1.0,1.0,0.0,41.173613,122.945501,0.6666666666666666
62,Anshan Iron and Steel Group Co Ltd,0.0,1,1.0,1.0,0.0,-4.244263,122.371221,0.6666666666666666
63,Antara Steel Mills Sdn Bhd,0.0,1,1.0,1.0,0.0,5.253839,115.242717,0.6666666666666666
64,Anyang Huixin Special Steel Co Ltd,0.0,1,1.0,1.0,0.0,36.152418,114.15839,0.6666666666666666
65,Anyang Iron & Steel Co Ltd,0.0,1,1.0,1.0,0.0,36.122129,114.283145,0.6666666666666666
66,Anyang Xinpu Steel Co Ltd,0.0,1,1.0,1.0,0.0,36.163203,114.296223,0.6666666666666666
67,Anyuan Iron & Steel Co Ltd,0.0,1,1.0,1.0,0.0,27.64555,113.902126,0.6666666666666666
68,Aperam Inox America do Sul SA,0.0,1,1.0,1.0,1.0,-19.531272,-42.639979,1.0
69,Aperam Stainless Belgium NV,0.0,1,1.0,1.0,1.0,50.6744855,5.0219685,1.0
70,Arab Steel Co,2500.0,1,1.0,1.0,0.0,26.277917,49.949177,0.6666666666666666
71,Arabian Gulf Steel Industries Selling Port LLC,0.0,1,1.0,1.0,0.0,24.283335,54.463384,0.6666666666666666
72,ArcelorMittal Atlantique et Lorraine SAS,16080.0,1,1.0,1.0,1.0,50.186498,4.2180275,1.0
73,ArcelorMittal Brasil SA,7704.0,1,1.0,1.0,0.6666666666666666,-18.793761,-43.635383,0.8888888888888888
74,ArcelorMittal Bremen GmbH,4100.0,1,1.0,1.0,1.0,53.133305,8.688193,1.0
75,ArcelorMittal Dofasco GP,0.0,1,1.0,1.0,1.0,43.269255,-79.804858,1.0
76,ArcelorMittal Duisburg GmbH,0.0,1,1.0,1.0,1.0,51.462987,6.744612,1.0
77,ArcelorMittal Eisenhüttenstadt GmbH,2900.0,1,1.0,1.0,1.0,52.168649,14.623473,1.0
78,ArcelorMittal España SA,7970.0,1,1.0,1.0,1.0,43.539916500000004,-5.802258,1.0
79,ArcelorMittal Hamburg GmbH,0.0,1,1.0,1.0,0.0,53.522601,9.900749,0.6666666666666666
80,ArcelorMittal Hunedoara SA,0.0,1,1.0,1.0,0.0,45.735183,22.91627,0.6666666666666666
81,ArcelorMittal Kryvyi Rih PJSC,2095.0,1,1.0,1.0,0.0,47.874411,33.392993,0.6666666666666666
82,ArcelorMittal Long Products Canada GP,0.0,1,1.0,1.0,0.0,45.835148,-73.254957,0.6666666666666666
83,ArcelorMittal Méditerranée SAS,8450.0,1,1.0,1.0,1.0,43.43283,4.887166,1.0
84,ArcelorMittal México SA de CV,1300.0,1,1.0,1.0,0.0,17.930688,-102.201498,0.6666666666666666
85,ArcelorMittal Nippon Steel India Ltd,6830.0,1,1.0,1.0,0.0,19.9366314,81.6597356,0.6666666666666666
86,ArcelorMittal Poland SA,0.0,1,0.5,0.5,0.5,50.213133,19.6906715,0.5
87,ArcelorMittal SA,8135.0,5,1.0,1.0,0.5,37.727837666666666,-2.211430166666664,0.8333333333333334
88,ArcelorMittal South Africa Ltd,7665.0,1,1.0,1.0,0.0,-29.114087666666666,25.286533666666667,0.6666666666666666
89,ArcelorMittal Tubarão Comercial SA,9754.0,1,1.0,1.0,1.0,-20.253447,-40.242298,1.0
90,Arcelormittal Olaberria-Bergara SL,0.0,1,1.0,1.0,0.0,43.03829,-2.219625,0.6666666666666666
91,Arcelormittal Sestao SL,0.0,1,1.0,1.0,0.0,43.313144,-2.998964,0.6666666666666666
92,Arcelormittal Warszawa SP zoo,0.0,1,1.0,1.0,1.0,52.291337,20.917302,1.0
93,Ardakan Steel Complex Co,0.0,1,1.0,1.0,0.0,32.373942,53.759655,0.6666666666666666
94,Arfa Iron and Steel Co,0.0,1,1.0,1.0,0.0,32.39309,53.7566,0.6666666666666666
95,Arjas Steel Pvt Ltd,650.0,1,1.0,1.0,0.0,14.873471,78.048425,0.6666666666666666
96,Arvand Jahanara Steel Co,0.0,1,1.0,1.0,0.0,30.510886,48.241356,0.6666666666666666
97,Arvand Kaveh Steel Co,0.0,1,1.0,1.0,0.0,30.505458,48.272024,0.6666666666666666
98,Ascometal France Holding SAS,0.0,1,1.0,1.0,0.0,49.241492,6.152631,0.6666666666666666
99,Asean Steel JSC,0.0,1,1.0,1.0,0.0,12.59912,107.93922,0.6666666666666666
100,Ashinskiy Metzavod PJSC,0.0,1,1.0,1.0,0.0,54.99484,57.277548,0.6666666666666666
101,Asil Celik Sanayi ve Ticaret AŞ,0.0,1,1.0,1.0,0.0,40.42752,29.270141,0.6666666666666666
102,Atibir Industries Co Ltd,1280.0,1,1.0,1.0,0.0,24.145239,86.334999,0.6666666666666666
103,Azerbaijan Integrated Steel Mill Complex,0.0,1,1.0,1.0,0.0,40.721908,46.363526,0.6666666666666666
104,Azna Steel,0.0,1,1.0,1.0,0.0,33.464353,49.391373,0.6666666666666666
105,BAP Al-Khair Steel Company,0.0,1,1.0,1.0,0.0,27.49794789593726,49.18415539099505,0.6666666666666666
106,BERIS Jiangsu Heavy Industry Co Ltd,0.0,1,1.0,1.0,0.0,32.104319,119.792126,0.6666666666666666
107,BES Brandenburger Elektrostahlwerke GmbH,0.0,1,1.0,1.0,0.0,52.402617,12.496135,0.6666666666666666
108,BMM Ispat Ltd,5700.0,1,1.0,1.0,0.0,15.16972,76.37971,0.6666666666666666
109,BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC,0.0,1,1.0,1.0,0.0,52.849321,29.988985,0.6666666666666666
110,BSRM Steels Ltd,0.0,1,1.0,1.0,0.0,22.873774,91.545562,0.6666666666666666
111,Badische Stahlwerke GmbH,0.0,1,1.0,1.0,0.0,48.595058,7.821633,0.6666666666666666
112,Bafgh Mineral Complex Iron & Steel Co,5000.0,1,1.0,1.0,0.0,31.699307,55.440187,0.6666666666666666
113,Baicheng Fuda Bar Rolling Co Ltd,0.0,1,1.0,1.0,0.0,45.593303,122.895588,0.6666666666666666
114,Baku Steel Company QSC,0.0,1,1.0,1.0,0.0,40.43136,49.886867,0.6666666666666666
115,Baldota Steel and Power Ltd,0.0,1,1.0,1.0,0.0,15.332616,76.206778,0.6666666666666666
116,Bangkok Steel Industry PCL,0.0,1,0.0,0.0,0.0,13.647672,100.553882,0.0
117,Bangladesh Steel Re-Rolling Mills Ltd,0.0,1,1.0,1.0,0.0,22.870631,91.545862,0.6666666666666666
118,Baobab Steel Ltd,4850.0,1,1.0,1.0,0.0,-15.724345,33.762664,0.6666666666666666
119,Baoshan Iron & Steel Co Ltd,0.0,1,1.0,1.0,0.0,31.41623,121.440087,0.6666666666666666
120,Baosteel Desheng Stainless Steel Co Ltd,2960.0,1,1.0,1.0,0.0,26.48747,119.654461,0.6666666666666666
121,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,0.0,1,1.0,1.0,0.0,43.852147,87.304639,0.6666666666666666
122,Baosteel Special Metals Co Ltd,0.0,1,1.0,1.0,0.0,31.379422,121.484652,0.6666666666666666
123,Baosteel Zhanjiang Iron & Steel Co Ltd,18506.0,1,1.0,1.0,0.0,21.056035,110.48657,0.6666666666666666
124,Baotou Baoxin Special Steel Co Ltd,0.0,1,1.0,1.0,0.0,41.362925,110.988771,0.6666666666666666
125,Baotou DA AN IRON&STEEL Co Ltd,0.0,1,1.0,1.0,0.0,40.688731000000004,109.75999300000001,0.6666666666666666
126,Baotou Deshun Spec. Steel Co Ltd,0.0,1,1.0,1.0,0.0,40.9019,110.336253,0.6666666666666666
127,Baotou Jiyu Steel Co Ltd,0.0,1,1.0,1.0,0.0,40.662343,109.696243,0.6666666666666666
128,Baowu Group Echeng Iron & Steel Co Ltd,0.0,1,1.0,1.0,0.0,30.39574,114.861313,0.6666666666666666
129,Bashundhara Multi Steel Industries Ltd,0.0,1,1.0,1.0,0.0,22.719278,91.470382,0.6666666666666666
130,Beijing Shougang Co Ltd,0.0,1,1.0,1.0,0.0,39.976702,118.558788,0.6666666666666666
131,Bengang Steel Plates Co Ltd,0.0,1,1.0,1.0,0.0,41.274132,123.722099,0.6666666666666666
132,Benteler Steel/Tube GmbH,0.0,1,1.0,1.0,0.0,52.467622,7.317169,0.6666666666666666
133,Benxi Beiying Iron & Steel (GROUP) Co Ltd,0.0,1,1.0,1.0,0.0,41.224814,123.608374,0.6666666666666666
134,Berhard Development Corporation (Private) Ltd,1200.0,1,1.0,1.0,0.0,-19.055102,29.782424,0.6666666666666666
135,Bhushan Power & Steel Ltd,0.0,1,1.0,1.0,0.0,22.665526,85.64622,0.6666666666666666
136,Big River Steel LLC,0.0,1,1.0,1.0,1.0,35.644264,-89.941659,1.0
137,Blastr Green Steel AS,0.0,1,1.0,1.0,0.0,60.0175,23.9126,0.6666666666666666
138,BlueScope Steel Ltd,0.0,2,1.0,1.0,0.5,2.6759389999999996,24.805504999999997,0.8333333333333334
139,Bonab Steel Complex,0.0,1,1.0,1.0,0.0,37.417437,46.035778,0.6666666666666666
140,Briquetera del Orinoco CA,0.0,1,1.0,1.0,0.0,8.274965,-62.819282,0.6666666666666666
141,British Steel Ltd,0.0,1,1.0,1.0,0.0,54.085131000000004,-0.874782,0.6666666666666666
142,Butia Iranian Steel Co,2500.0,1,1.0,1.0,0.0,30.4912,56.8214,0.6666666666666666
143,CMC Poland SP zoo,0.0,1,1.0,1.0,0.0,50.487463,19.456759,0.6666666666666666
144,CVG Ferrominera Orinoco CA,0.0,1,1.0,1.0,0.0,8.33468,-62.728842,0.6666666666666666
145,Cambodia Iron & Steel Mining Industry Group Co Ltd,0.0,1,1.0,1.0,0.0,13.366642,105.118129,0.6666666666666666
146,Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,6763.0,1,1.0,1.0,0.0,38.289221,117.814367,0.6666666666666666
147,Cangzhou Lingang Sanling Metal Co Ltd,0.0,1,1.0,1.0,0.0,38.311738,117.457779,0.6666666666666666
148,Captain Steel India Ltd,0.0,1,1.0,1.0,0.0,22.855859,87.345018,0.6666666666666666
149,Cascade Steel Rolling Mills Inc,0.0,1,1.0,1.0,0.0,45.228035,-123.163599,0.6666666666666666
150,Celsa France SAS,0.0,1,1.0,1.0,0.0,43.529693,-1.500971,0.6666666666666666
151,Celsa Huta Ostrowiec SP zoo,0.0,1,1.0,1.0,0.0,50.947305,21.448763,0.6666666666666666
152,Century Steel Pte Ltd,0.0,1,1.0,1.0,0.0,34.124213,72.019181,0.6666666666666666
153,Ceylon Steel Co Ltd,0.0,1,1.0,1.0,0.0,6.128077,81.075224,0.6666666666666666
154,Chadormalu Mining & Industrial Co,4000.0,1,1.0,1.0,0.0,32.387328,53.747706,0.6666666666666666
155,Changshu Longteng Special Steel Co Ltd,0.0,1,1.0,1.0,0.0,31.723833,120.835685,0.6666666666666666
156,Changzhou Dongfang Special Steel Co Ltd,0.0,1,1.0,1.0,0.0,31.602554,119.724256,0.6666666666666666
157,Chart and Capstone Integrated Ltd,0.0,1,1.0,1.0,0.0,7.69346,6.806937,0.6666666666666666
158,Charter Manufacturing Co Inc,0.0,1,1.0,1.0,0.0,42.42184,-84.8040555,0.6666666666666666
159,Chelyabinskiy Metallurgicheskiy Kombinat PJSC,7400.0,1,1.0,1.0,0.0,55.27073,61.436492,0.6666666666666666
160,Chelyabinskiy Truboprokatnyi Zavod JSC,0.0,1,1.0,1.0,0.0,56.90205,59.992198,0.6666666666666666
161,Chengde Jianlong SPECIAL Steel Co Ltd,1805.0,1,1.0,1.0,0.0,40.515035,117.596071,0.6666666666666666
162,Chengde Shengfeng Iron & Steel Co Ltd,0.0,1,1.0,1.0,0.0,40.622466,118.490845,0.6666666666666666
163,Chengde Street Ltd,0.0,1,1.0,1.0,0.0,40.947707,117.719747,0.6666666666666666
164,Chengde Zhaofeng Steel Group Co Ltd,10000.0,1,1.0,1.0,0.0,40.593875,118.633334,0.6666666666666666
165,Chengdu Changfeng Steel Group Co Ltd,0.0,1,1.0,1.0,0.0,31.031921,103.672956,0.6666666666666666
166,Chengyu Vanadium & Titanium Technology Co Ltd,1100.0,1,1.0,1.0,0.0,29.732143,104.504339,0.6666666666666666
167,Chifeng Yuanlian Steel Co Ltd,0.0,1,1.0,1.0,0.0,42.278115,119.015289,0.6666666666666666
168,Chifeng Zhongtang Special Steel Co Ltd,0.0,1,1.0,1.0,0.0,41.834064,119.281883,0.6666666666666666
169,China Steel Corp,0.0,1,1.0,1.0,0.0,22.555442,120.349252,0.6666666666666666
170,Chizhou Guichi Guihang Metal Products Co Ltd,0.0,1,1.0,1.0,0.0,30.532786,117.25166,0.6666666666666666
171,Chongli Steel Manufacturing Co Ltd,800.0,1,1.0,1.0,0.0,36.602468,113.755744,0.6666666666666666
172,Chongqing Iron & Steel Co Ltd,0.0,1,1.0,1.0,0.0,29.790253,107.040368,0.6666666666666666
173,Chongqing Yonghang Steel Group Co Ltd,0.0,1,1.0,1.0,0.0,29.836163,106.988138,0.6666666666666666
174,Chongqing Zuhang Steel Co Ltd,0.0,1,1.0,1.0,0.0,29.440056,105.741929,0.6666666666666666
175,Chow Steel Industries PCL,0.0,1,1.0,1.0,0.0,14.074757,101.84215,0.6666666666666666
176,Chubu Steel Plate Co Ltd,0.0,1,1.0,1.0,0.0,35.118836,136.867567,0.6666666666666666
177,Cleveland-Cliffs Inc,7627.0,2,1.0,1.0,0.0,41.211778833333334,-82.50965675,0.6666666666666666
178,Columbus Stainless (Pty) Ltd,0.0,1,1.0,1.0,0.0,-25.796313,29.497972,0.6666666666666666
179,Commercial Metals Co,0.0,1,1.0,1.0,0.0,33.87139514285714,-88.24068757142857,0.6666666666666666
180,Companhia Siderurgica do Cuchi SA,0.0,1,1.0,1.0,0.0,-14.650166,16.925606,0.6666666666666666
181,Companhia Siderúrgica Nacional SA,8610.0,1,1.0,1.0,0.0,-22.512631,-44.11287,0.6666666666666666
182,Compania Espanola de Laminacion SL,0.0,1,1.0,1.0,0.0,41.454855,1.980107,0.6666666666666666
183,Compania Siderurgica Huachipato SA,500.0,1,1.0,1.0,0.0,-36.746421,-73.129171,0.6666666666666666
184,Complejo Siderurgico de Guayana CA,0.0,1,1.0,1.0,0.0,8.297662,-62.780149,0.6666666666666666
185,Corporacion Aceros Arequipa SA,0.0,1,1.0,1.0,0.0,-13.788622,-76.168173,0.6666666666666666
186,Corporacion Venezolana de Guayana,0.0,1,1.0,1.0,0.0,8.290142,-62.805419,0.6666666666666666
187,Corporación AG SA,0.0,1,1.0,1.0,0.0,14.232007,-90.815444,0.6666666666666666
188,Corrugados Getafe SL,0.0,1,1.0,1.0,0.0,40.310803,-3.703568,0.6666666666666666
189,Crest Steel and Power Pvt Ltd,1400.0,1,1.0,1.0,0.0,21.190313,81.19922,0.6666666666666666
190,Cristian Lay SL,0.0,1,1.0,1.0,0.0,43.179125,-2.255939,0.6666666666666666
191,DELONG Steel Ltd,2216.0,1,1.0,1.0,0.0,37.086116,114.384832,0.6666666666666666
192,DRI d'Italia SpA,0.0,1,1.0,1.0,0.0,40.508993,17.207589,0.6666666666666666
193,DST Nghi Son Iron and Steel JSC,0.0,1,1.0,1.0,0.0,19.367379,105.675841,0.6666666666666666
194,Daehan Steel Co Ltd,0.0,1,1.0,1.0,0.0,35.099098,128.860339,0.6666666666666666
195,Daido Steel Co Ltd,0.0,1,1.0,1.0,0.0,35.016404,136.864744,0.6666666666666666
196,Dalmine SpA,0.0,1,1.0,1.0,0.0,45.641516,9.600242,0.6666666666666666
197,Danyang Longjiang Steel Co Ltd,2300.0,1,1.0,1.0,0.0,32.027791,119.57706,0.6666666666666666
198,Dar Al Arkan Real Estate Development Company SJSC,0.0,1,1.0,1.0,0.0,21.524005,39.240633,0.6666666666666666
199,Daric Investment Holding Co,0.0,1,1.0,1.0,0.0,37.987218999999996,46.35052,0.6666666666666666
200,Daye Huaxin Industrial Co Ltd,2320.0,1,1.0,1.0,0.0,30.070219,114.926251,0.6666666666666666
201,Daye SPECIAL Steel Co Ltd,0.0,1,1.0,1.0,0.0,30.204603,115.125838,0.6666666666666666
